ID,Fecha Registro,Tipo Registro,Estado Negocio,Estado Renovación,Estado Prospecto,Estado Traspaso,Estado Inclusión,Tipo Materia,Seguro,Cot Aceptada,Póliza,Modifica Materia?,Comisión?,Contratante,Pagador,Cliente,Producto,Ejecutivo,Moneda,UF Prima Afecta,UF Prima Exenta,CLP Prima Afecta,CLP Prima Exenta,USD Prima Afecta,USD Prima Exenta,% Comisión Afecta,% Comisión Exenta,Forma de Pago,N° Cuotas,Valor Cuota,Tipo Inspección,N° Inspección,I Vigencia,Condiciones,Archivos,Comentarios,Fin Gestión,Traspaso Info 1,Traspaso Info 2
Neg0152,6/5/2025,Negocio,Aceptado,,,,,Individual,Seg0028,,,FALSE,TRUE,rut0056,rut0056,Cli0040,,,UF,,,,,,,12.00%,0.00%,Directa,,,Continuidad,,,,,,16/5/2025,,
Ren0164,11/5/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0231,FALSE,TRUE,rut0030,rut0030,Cli0025,,,UF,,,,,,,17.00%,0.00%,PAT,,,,,,,,,21/5/2025,,
Ren0165,13/5/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0233,FALSE,TRUE,rut0117,rut0117,Cli0080,,,UF,,,,,,,10.50%,0.00%,PAC,,,,,,Iguales,,,23/5/2025,,
Ren0166,15/5/2025,Renovación,,Renovado,,,,Individual,Seg0017,,Pol0234,FALSE,TRUE,rut0116,rut0116,Cli0079,,,UF,,,,,,,15.00%,7.00%,PAT,,,,,,,,,25/5/2025,,
Ren0167,15/5/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0235,FALSE,TRUE,rut0144,rut0144,Cli0101,,,UF,,,,,,,17.00%,0.00%,PAT,,,,,,Portal ANS,,,25/5/2025,,
Ren0168,17/5/2025,Renovación,,Cambio Cía,,,,Individual,Seg0028,,Pol0236,FALSE,TRUE,rut0050,rut0050,Cli0037,,,UF,,,,,,,14.00%,0.00%,PAT,,,,,,,,,27/5/2025,,
Ren0169,17/5/2025,Renovación,,Renovado,,,,Individual,Seg0001,,Pol0237,FALSE,TRUE,rut0173,rut0173,Cli0117,,,UF,,,,,,,25.00%,25.00%,Directa,,,,,,https://segurosaegis.sharepoint.com/:x:/s/SegurosAegis1/EQDDGOKg4y5AuSXx5QpwXHsBlABoXP9bflD9DTGtPsqnEQ?e=RT1zk1,,,27/5/2025,,
Ren0170,27/5/2025,Renovación,,Renovado,,,,Individual,Seg0026,,Pol0238,FALSE,TRUE,rut0057,rut0057,Cli0040,,,UF,,,,,,,16.00%,0.00%,Directa,,,,,,https://segurosaegis.sharepoint.com/:b:/s/SegurosAegis1/ETiO8bBx25BMqRYS6ppaEmcB9Z2TW3WFg5accErhmX62Lw?e=4etcrA,,,6/6/2025,,
Neg0154,2/6/2025,Negocio,Aceptado,,,,,Individual,,Cot0179,,FALSE,TRUE,rut0050,rut0050,Cli0037,,,UF,,,,,,,14.00%,0.00%,PAT,,,Continuidad,,,,,,12/6/2025,,
Ren0171,4/6/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0240,FALSE,TRUE,rut0090,rut0090,Cli0064,,,UF,,,,,,,14.50%,0.00%,PAT,,,,,,https://segurosaegis.sharepoint.com/:b:/s/SegurosAegis1/EUFD1ZexwjRPkFWlXI3EUJgBlodhAmo4A4McHOjlah3lJw?e=NLoi5y,,,14/6/2025,,
Neg0155,5/6/2025,Negocio,Aceptado,,,,,Individual,Seg0028,Cot0182,,FALSE,TRUE,rut0085,rut0085,Cli0061,,,UF,,,,,,,13.00%,0.00%,PAT,,,Autoinspección,2717587,,,,,15/6/2025,,
