ID,Categoria,Entidad,Compañía,Póliza,Partner,Gestor,Titulo,Descripcion,Tipo,Obligación,FechaInicio,FechaFin,FechaVencimiento,Prioridad,DiasAnticipacionAviso,Activo,Completado,FechaCompletado,FechaCreacion,FechaActualizacion
36d43b1b,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,12/5/2026 8:00:07,12/5/2026 8:00:07
8aa0325e,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,12/5/2026 8:00:07,12/5/2026 8:00:07
1ffa4cb9,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,12/5/2026 8:00:07,12/5/2026 8:00:07
c75b21bd,Cat0010,Prv0001,,,,,IVA 20/05/26,Declarar y pagar IVA mensual,Obligación,25263faa,20/5/2026,,20/5/2026,Alta,15,TRUE,FALSE,,12/5/2026 8:00:07,12/5/2026 8:00:07
ec1406db,Cat0006,,,,,,Cobranza 13/05/26,Realizar cobranza,Obligación,985cf347,13/5/2026,,13/5/2026,Media,3,TRUE,FALSE,,12/5/2026 8:00:07,12/5/2026 8:00:07
38b80cac,Cat0006,,,,,,Revisar Prospectos 12/05/26,,Obligación,7075efec,12/5/2026,,12/5/2026,Baja,0,TRUE,FALSE,,12/5/2026 8:00:07,12/5/2026 8:00:07
deeb4deb,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,13/5/2026 8:00:10,13/5/2026 8:00:10
1cc11176,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,13/5/2026 8:00:10,13/5/2026 8:00:10
9c5a3b67,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,13/5/2026 8:00:10,13/5/2026 8:00:10
52ce3774,Cat0010,Prv0001,,,,,IVA 20/05/26,Declarar y pagar IVA mensual,Obligación,25263faa,20/5/2026,,20/5/2026,Alta,15,TRUE,FALSE,,13/5/2026 8:00:10,13/5/2026 8:00:10
e77ac311,Cat0006,,,,,,Cobranza 13/05/26,Realizar cobranza,Obligación,985cf347,13/5/2026,,13/5/2026,Media,3,TRUE,FALSE,,13/5/2026 8:00:10,13/5/2026 8:00:10
f6efaad0,Cat0006,,,,,,Revisar Prospectos 13/05/26,,Obligación,7075efec,13/5/2026,,13/5/2026,Baja,0,TRUE,FALSE,,13/5/2026 8:00:10,13/5/2026 8:00:10
b8fbb6b4,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,14/5/2026 8:00:07,14/5/2026 8:00:07
a21183d1,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,14/5/2026 8:00:07,14/5/2026 8:00:07
